City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Mabaruma,GY,2022-11-23 22:26:22,8.2,-59.7833,74.14,98,98,3.87
166,Karasjok,NO,2022-11-23 22:26:22,69.4719,25.5112,5.54,99,94,1.81
167,Odessa,UA,2022-11-23 22:26:23,46.4775,30.7326,52.16,88,100,18.63
168,Cessnock,AU,2022-11-23 22:26:23,-32.8333,151.35,73.42,52,0,2.82
169,Novikovo,RU,2022-11-23 22:26:24,51.1537,37.8879,20.46,96,8,3.58
170,Auki,SB,2022-11-23 22:26:24,-8.7676,160.7034,84.0,68,63,3.49
171,Bilibino,RU,2022-11-23 22:26:25,68.0546,166.4372,-15.48,92,100,5.77
172,Zhanaozen,KZ,2022-11-23 22:26:25,43.3,52.8,46.02,79,0,8.86
173,Praia,CV,2022-11-23 22:24:48,14.9215,-23.5087,77.54,65,87,16.11
174,Lompoc,US,2022-11-23 22:24:51,34.6391,-120.4579,78.85,47,0,19.57
175,Mahebourg,MU,2022-11-23 22:26:26,-20.4081,57.7,76.24,88,40,6.91
176,Salmo,CA,2022-11-23 22:26:26,49.1999,-117.2689,41.07,82,82,2.35
177,Kavaratti,IN,2022-11-23 22:26:27,10.5669,72.642,79.99,74,79,9.1
178,Cayenne,GF,2022-11-23 22:26:27,4.9333,-52.3333,80.64,83,20,5.75
179,Tanout,NE,2022-11-23 22:26:28,14.9709,8.8879,69.89,15,5,12.3
180,Iguaba Grande,BR,2022-11-23 22:26:28,-22.8392,-42.2289,77.04,78,40,17.27
181,Puga,MX,2022-11-23 22:27:29,21.5833,-104.8167,82.47,54,40,9.22
182,Nanortalik,GL,2022-11-23 22:27:29,60.1432,-45.2371,30.45,72,100,10.85
183,Marovoay,MG,2022-11-23 22:27:30,-16.1,46.6333,72.64,89,100,2.51
184,Okha,RU,2022-11-23 22:27:30,53.5739,142.9478,18.23,84,54,19.53
185,Axim,GH,2022-11-23 22:27:31,4.8699,-2.2405,78.78,82,5,6.11
186,Port Hedland,AU,2022-11-23 22:27:31,-20.3167,118.5667,75.25,83,100,3.44
187,Sitka,US,2022-11-23 22:27:32,57.0531,-135.33,44.49,70,100,28.77
188,Coquimbo,CL,2022-11-23 22:24:49,-29.9533,-71.3436,64.13,72,20,10.36
189,Ipixuna,BR,2022-11-23 22:27:32,-1.7625,-48.8043,75.96,93,57,3.36
190,Inhambane,MZ,2022-11-23 22:27:33,-23.865,35.3833,73.2,70,1,10.07
191,Shimoda,JP,2022-11-23 22:27:33,34.6667,138.95,58.1,82,3,7.49
192,Gamba,GA,2022-11-23 22:27:34,-2.65,10.0,76.95,87,13,4.43
193,Gao,ML,2022-11-23 22:27:35,16.6362,1.637,72.64,16,87,13.58
194,Vitry-Le-Francois,FR,2022-11-23 22:27:35,48.7333,4.5833,46.81,91,0,13.56
195,Pisco,PE,2022-11-23 22:24:12,-13.7,-76.2167,71.65,68,0,19.57
196,Sulechow,PL,2022-11-23 22:27:36,52.0836,15.6251,35.65,44,100,4.92
197,Kargil,IN,2022-11-23 22:27:37,34.5667,76.1,14.14,49,0,2.82
198,Chapleau,CA,2022-11-23 22:27:37,47.8405,-83.4034,33.89,86,100,4.61
199,Clyde River,CA,2022-11-23 22:27:38,70.4692,-68.5914,-3.77,71,100,2.3
200,San Ramon,US,2022-11-23 22:27:19,37.7799,-121.978,72.55,38,0,14.97
201,Chokurdakh,RU,2022-11-23 22:27:38,70.6333,147.9167,-27.33,100,70,6.22
202,Laguna,US,2022-11-23 22:27:39,38.421,-121.4238,71.15,41,0,5.75
203,Khuzhir,RU,2022-11-23 22:27:39,53.1939,107.3397,23.79,66,100,18.39
204,Tuatapere,NZ,2022-11-23 22:27:40,-46.1333,167.6833,50.7,74,100,12.21
