City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Husavik,IS,66.0449,-17.3389,36.12,85,76,14.7,broken clouds
187,Shingu,JP,33.7333,135.9833,65.28,65,100,7.96,overcast clouds
188,Ambilobe,MG,-13.2,49.05,79.43,67,21,2.19,few clouds
189,Nouadhibou,MR,20.931,-17.0347,67.82,48,0,12.95,clear sky
190,Clyde River,CA,70.4692,-68.5914,-21.77,69,0,5.75,clear sky
191,Trat,TH,12.5,102.5,91.9,70,84,1.57,broken clouds
192,Saldanha,ZA,-33.0117,17.9442,61.74,95,42,5.06,scattered clouds
193,Avarua,CK,-21.2078,-159.775,80.65,74,40,11.5,scattered clouds
194,Beni Mazar,EG,28.4962,30.8029,58.69,56,0,4.07,clear sky
195,Teya,RU,60.3778,92.6267,-12.3,97,98,2.71,overcast clouds
196,Mulanur,IN,10.7667,77.7167,76.35,69,74,5.44,broken clouds
197,Thunder Bay,CA,48.4001,-89.3168,28.38,86,100,18.41,overcast clouds
198,Ormara,PK,25.2088,64.6357,75.47,45,0,4.99,clear sky
199,Yagodnoye,RU,62.55,149.6667,-18.29,97,100,5.79,overcast clouds
200,Omsukchan,RU,62.5333,155.8,-18.31,98,100,5.35,overcast clouds
201,Makakilo City,US,21.3469,-158.0858,79.12,71,0,8.05,clear sky
202,Ipua,BR,-20.4381,-48.0122,64.36,91,51,2.89,broken clouds
203,Cheremshanka,RU,56.1192,60.268,6.24,93,100,2.66,overcast clouds
204,Buala,SB,-8.145,159.5921,82.53,78,95,3.38,moderate rain
205,Kampene,CD,-3.6,26.6667,67.5,100,100,0.72,moderate rain
206,El Estor,GT,15.5333,-89.35,72.46,94,49,0.45,scattered clouds
207,Airai,TL,-8.9266,125.4092,75.38,52,72,3.83,broken clouds
208,Dunedin,NZ,-45.8742,170.5036,57.79,75,100,10.0,light rain
209,Roros,NO,62.5747,11.3842,24.64,80,100,5.75,overcast clouds
210,Providencia,MX,28.7167,-111.5833,63.43,65,17,4.0,few clouds
211,Florida,US,28.7505,-82.5001,68.92,83,0,3.44,clear sky
212,Mount Gambier,AU,-37.8333,140.7667,61.43,60,94,7.7,overcast clouds
213,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.77,99,99,1.79,light rain
214,Aranos,NA,-24.1333,19.1167,76.75,38,96,9.26,overcast clouds
215,Vavoua,CI,7.3819,-6.4778,71.58,88,56,2.95,broken clouds
216,Belgrade,RS,44.804,20.4651,42.46,82,20,10.36,few clouds
217,Qandala,SO,11.472,49.8728,76.15,68,0,5.82,clear sky
218,North Bend,US,43.4065,-124.2243,47.07,95,100,8.05,overcast clouds
219,Yeppoon,AU,-23.1333,150.7333,73.18,96,100,14.12,overcast clouds
220,Salalah,OM,17.0151,54.0924,75.29,78,20,3.44,few clouds
221,Bara,NG,10.3744,10.7288,63.43,28,62,5.37,broken clouds
222,Sur,OM,22.5667,59.5289,78.58,51,3,7.07,clear sky
223,Vila Velha,BR,-20.3297,-40.2925,75.15,94,100,11.5,overcast clouds
224,Zhigansk,RU,66.7697,123.3711,-40.9,100,98,4.56,overcast clouds
225,Saint George,US,37.1041,-113.5841,37.99,32,0,1.01,clear sky
226,Gwanda,ZW,-20.9333,29.0,58.24,78,0,5.93,clear sky
227,Solnechnyy,RU,50.7214,136.6319,5.61,76,100,7.27,overcast clouds
228,Khandyga,RU,62.6667,135.6,-32.89,97,100,0.83,overcast clouds
229,Bahia Blanca,AR,-38.7196,-62.2724,64.29,80,2,1.99,clear sky
230,Aksarka,RU,66.5606,67.7975,-2.76,99,92,3.18,overcast clouds
231,Coos Bay,US,43.3665,-124.2179,47.14,95,100,8.05,overcast clouds
232,Matay,EG,28.419,30.7792,58.8,56,0,3.94,clear sky
233,Port Hedland,AU,-20.3167,118.5667,89.65,62,16,12.66,few clouds
234,Nanakuli,US,21.3906,-158.1547,80.55,63,0,8.05,clear sky
235,Castro,BR,-24.7911,-50.0119,58.62,97,95,4.47,overcast clouds
236,Grand Forks,US,47.9417,-97.4337,19.13,73,75,21.85,broken clouds
237,Anshun,CN,26.25,105.9333,38.44,82,100,10.16,overcast clouds
238,Itamaraca,BR,-7.7478,-34.8256,77.05,77,100,5.73,overcast clouds
239,Sao Filipe,CV,14.8961,-24.4956,73.96,65,16,8.84,few clouds
240,Cherskiy,RU,68.75,161.3,-17.09,98,99,4.63,overcast clouds
241,Ndele,CF,8.4109,20.6473,71.65,34,86,2.59,overcast clouds
242,Chadan,RU,51.2833,91.5833,-21.95,94,20,1.77,few clouds
243,San Cosme Y Damian,PY,-27.3167,-56.35,78.98,65,1,6.53,clear sky
244,Buraydah,SA,26.326,43.975,64.85,32,77,10.07,broken clouds
245,Cabo San Lucas,MX,22.8909,-109.9124,69.62,74,19,5.28,few clouds
246,Haines Junction,CA,60.7522,-137.5108,-9.45,84,5,5.75,clear sky
247,Udachnyy,RU,66.4167,112.4,0.45,77,100,12.06,overcast clouds
248,Arman,RU,59.7,150.1667,25.02,80,100,36.15,snow
249,Pinhao,BR,-25.6956,-51.6597,59.72,93,100,6.82,overcast clouds
250,Araouane,ML,18.9048,-3.5265,63.46,20,2,10.67,clear sky
251,Talcahuano,CL,-36.7167,-73.1167,58.68,88,20,6.91,few clouds
252,Sinop,TR,41.7711,34.8709,47.91,67,8,4.25,clear sky
253,Ambah,IN,26.7075,78.2261,66.79,34,100,1.01,overcast clouds
254,Cobourg,DE,50.2667,10.9667,41.77,95,100,1.68,overcast clouds
255,Micheweni,TZ,-4.9667,39.8333,78.01,82,41,3.89,light rain
256,Groningen,NL,53.25,6.75,44.04,96,75,2.3,mist
257,Kyzyl-Suu,KG,42.3414,78.0056,34.93,70,100,2.06,overcast clouds
258,Mayachnyy,RU,52.6839,55.685,1.76,93,100,8.1,overcast clouds
259,Nieuw Nickerie,SR,5.95,-56.9833,77.49,84,92,9.48,overcast clouds
260,Saint-Augustin,CA,51.226,-58.6502,9.07,81,8,12.59,clear sky
261,San Patricio,US,28.017,-97.5169,70.84,92,1,3.85,clear sky
262,Ndjole,GA,-0.1783,10.7649,72.86,99,100,1.12,overcast clouds
263,Mehamn,NO,71.0357,27.8492,37.35,93,75,6.91,broken clouds
264,Ukmerge,LT,55.25,24.75,31.68,96,99,5.84,overcast clouds
265,Kambove,CD,-10.8764,26.5969,61.0,93,100,3.22,overcast clouds
266,Paracuru,BR,-3.41,-39.0306,80.11,82,99,3.47,overcast clouds
267,Lata,PT,40.1629,-8.3327,45.07,93,59,2.37,broken clouds
268,Souillac,MU,-20.5167,57.5167,79.18,65,40,4.61,scattered clouds
269,Mountain Home,US,43.133,-115.6912,24.28,74,100,11.5,overcast clouds
270,Falmouth,GB,50.1544,-5.0711,50.58,76,100,5.75,overcast clouds
271,College,US,64.8569,-147.8028,-9.42,76,40,0.0,scattered clouds
272,Celestun,MX,20.8667,-90.4,79.45,75,63,13.02,broken clouds
273,Kahului,US,20.8947,-156.47,78.82,85,40,4.61,scattered clouds
274,Ilulissat,GL,69.2167,-51.1,26.62,80,100,13.8,overcast clouds
275,Baruun-Urt,MN,46.6806,113.2792,0.0,63,36,18.95,scattered clouds
276,Poum,NC,-20.2333,164.0167,82.24,78,89,12.75,overcast clouds
277,Vostok,RU,46.4856,135.8833,-2.07,88,100,14.03,overcast clouds
278,Sangar,RU,63.9242,127.4739,-37.79,96,100,2.66,overcast clouds
279,Ketchikan,US,55.3422,-131.6461,23.47,36,40,5.75,scattered clouds
280,Nakonde,ZM,-9.3421,32.745,60.94,88,99,4.52,overcast clouds
281,Roald,NO,62.5833,6.1333,43.32,81,100,12.66,overcast clouds
282,Viedma,AR,-40.8135,-62.9967,59.92,66,97,14.88,overcast clouds
283,Kaitangata,NZ,-46.2817,169.8464,59.02,66,97,13.53,overcast clouds
284,Oppdal,NO,62.5943,9.6912,29.93,95,100,5.21,light snow
285,Olafsvik,IS,64.8945,-23.7142,44.01,89,100,18.1,overcast clouds
286,Umm Lajj,SA,25.0213,37.2685,74.08,52,4,7.63,clear sky
287,Agadir,MA,30.4202,-9.5982,50.45,61,0,1.45,clear sky
288,Grindavik,IS,63.8424,-22.4338,48.67,93,75,37.98,broken clouds
289,Cedro,BR,-6.6067,-39.0622,77.29,68,100,3.36,overcast clouds
290,Alice Springs,AU,-23.7,133.8833,81.95,20,0,10.36,clear sky
291,Bud,US,39.447,-86.1758,60.82,84,94,14.61,overcast clouds
292,Champerico,GT,14.3,-91.9167,75.99,81,61,5.3,broken clouds
293,El Carmen,CO,8.5106,-73.4478,66.34,99,100,2.48,overcast clouds
294,Kargasok,RU,59.0556,80.8572,-13.88,97,92,3.38,overcast clouds
295,Nyagan,RU,62.1406,65.3936,4.42,98,100,1.23,overcast clouds
296,Koratla,IN,18.8167,78.7167,72.55,45,0,1.83,clear sky
297,Bogo,PH,11.0517,124.0055,85.89,67,100,12.28,overcast clouds
298,Plettenberg Bay,ZA,-34.0527,23.3716,66.76,69,4,3.38,clear sky
299,Caiaponia,BR,-16.9567,-51.8103,74.48,41,98,5.06,overcast clouds
300,Ekangala,ZA,-25.6962,28.7492,63.3,72,0,2.75,clear sky
301,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.02,88,100,8.37,moderate rain
302,Peniche,PT,39.3558,-9.3811,51.46,91,60,7.36,broken clouds
303,Sisimiut,GL,66.9395,-53.6735,17.33,88,92,14.52,overcast clouds
304,Bethel,US,41.3712,-73.414,34.63,87,75,0.0,broken clouds
305,Valdivia,CL,-39.8142,-73.2459,55.49,92,93,2.75,overcast clouds
306,Tutoia,BR,-2.7619,-42.2744,75.78,88,87,2.68,overcast clouds
307,Trelew,AR,-43.249,-65.3051,54.03,69,40,10.02,scattered clouds
308,Kota Kinabalu,MY,5.9749,116.0724,87.78,70,20,3.44,few clouds
309,Dunkirk,FR,51.05,2.3667,40.01,82,52,3.2,broken clouds
310,Fortuna,US,40.5982,-124.1573,43.14,92,0,5.75,clear sky
311,Goure,NE,13.9835,10.2704,58.89,33,46,7.38,scattered clouds
312,Adrar,MR,20.5022,-10.0711,60.84,21,0,9.06,clear sky
313,Kongolo,CD,-5.3833,27.0,67.98,99,100,1.16,light rain
314,Oktyabrskoye,RU,43.0645,44.7417,33.3,91,100,4.0,overcast clouds
315,Gravdal,NO,68.1214,13.5031,40.89,81,75,11.5,light rain
316,Putina,PE,-15.4667,-69.4333,46.18,55,3,7.54,clear sky
317,Auki,SB,-8.7676,160.7034,82.15,80,77,2.66,broken clouds
318,Padang,ID,-0.9492,100.3543,84.25,69,86,4.59,overcast clouds
319,Pemangkat,ID,1.1667,108.9667,84.4,71,99,4.23,overcast clouds
320,Requena,ES,39.4883,-1.1004,40.78,72,93,4.16,overcast clouds
321,Barwala,IN,29.3833,75.9167,67.73,29,0,1.59,clear sky
